"DisplayName","ObjectType","RoleDefinitionName","Scope"
"9b1ed4784f62422fb0160a69","ServicePrincipal","Monitoring Contributor","/providers/Microsoft.Management/managementGroups/Workload-mg"
"9b1ed4784f62422fb0160a69","ServicePrincipal","Log Analytics Contributor","/providers/Microsoft.Management/managementGroups/Workload-mg"
"9b1ed4784f62422fb0160a69","ServicePrincipal","Contributor","/providers/Microsoft.Management/managementGroups/Workload-mg"
"MMG - AZURE - CAG ICO Cloud - Admins","Group","Owner","/providers/Microsoft.Management/managementGroups/Workload-mg"
"mmglz-dev-uai","ServicePrincipal","Owner","/providers/Microsoft.Management/managementGroups/b1bd017e-469d-4616-bb7b-bdd765fbb46e"
"Cloud - Owners","Group","Owner","/providers/Microsoft.Management/managementGroups/b1bd017e-469d-4616-bb7b-bdd765fbb46e"
"Emergency Access - Owners","Group","Owner","/providers/Microsoft.Management/managementGroups/b1bd017e-469d-4616-bb7b-bdd765fbb46e"
"Cloud Architecture - Readers","Group","Reader","/providers/Microsoft.Management/managementGroups/mmg"
"Cloud Operations - Support Request","Group","Support Request Contributor","/providers/Microsoft.Management/managementGroups/mmg"
"Cloud Operations - Contributors","Group","Contributor","/providers/Microsoft.Management/managementGroups/mmg"
"Cloud Operations - Cost Management","Group","Cost Management Contributor","/providers/Microsoft.Management/managementGroups/mmg"
"mmglz-dev-uai","ServicePrincipal","Owner","/providers/Microsoft.Management/managementGroups/b1bd017e-469d-4616-bb7b-bdd765fbb46e"
"Cloud - Owners","Group","Owner","/providers/Microsoft.Management/managementGroups/b1bd017e-469d-4616-bb7b-bdd765fbb46e"
"Emergency Access - Owners","Group","Owner","/providers/Microsoft.Management/managementGroups/b1bd017e-469d-4616-bb7b-bdd765fbb46e"
"AutoBI - Readers","Group","Reader","/providers/Microsoft.Management/managementGroups/mmg-autobi"
"AutoBI - Contributors","Group","Contributor","/providers/Microsoft.Management/managementGroups/mmg-autobi"
"Cloud Architecture - Readers","Group","Reader","/providers/Microsoft.Management/managementGroups/mmg"
"Cloud Operations - Support Request","Group","Support Request Contributor","/providers/Microsoft.Management/managementGroups/mmg"
"Cloud Operations - Contributors","Group","Contributor","/providers/Microsoft.Management/managementGroups/mmg"
"Cloud Operations - Cost Management","Group","Cost Management Contributor","/providers/Microsoft.Management/managementGroups/mmg"
"mmglz-dev-uai","ServicePrincipal","Owner","/providers/Microsoft.Management/managementGroups/b1bd017e-469d-4616-bb7b-bdd765fbb46e"
"Cloud - Owners","Group","Owner","/providers/Microsoft.Management/managementGroups/b1bd017e-469d-4616-bb7b-bdd765fbb46e"
"Emergency Access - Owners","Group","Owner","/providers/Microsoft.Management/managementGroups/b1bd017e-469d-4616-bb7b-bdd765fbb46e"
"Cloud Architecture - Readers","Group","Reader","/providers/Microsoft.Management/managementGroups/mmg"
"Cloud Operations - Support Request","Group","Support Request Contributor","/providers/Microsoft.Management/managementGroups/mmg"
"Cloud Operations - Contributors","Group","Contributor","/providers/Microsoft.Management/managementGroups/mmg"
"Cloud Operations - Cost Management","Group","Cost Management Contributor","/providers/Microsoft.Management/managementGroups/mmg"
"mmglz-dev-uai","ServicePrincipal","Owner","/providers/Microsoft.Management/managementGroups/b1bd017e-469d-4616-bb7b-bdd765fbb46e"
"Cloud - Owners","Group","Owner","/providers/Microsoft.Management/managementGroups/b1bd017e-469d-4616-bb7b-bdd765fbb46e"
"Emergency Access - Owners","Group","Owner","/providers/Microsoft.Management/managementGroups/b1bd017e-469d-4616-bb7b-bdd765fbb46e"
"Data Platform - Contributors","Group","Contributor","/providers/Microsoft.Management/managementGroups/mmg-data-platform"
"Data Platform - Readers","Group","Reader","/providers/Microsoft.Management/managementGroups/mmg-data-platform"
"Cloud Architecture - Readers","Group","Reader","/providers/Microsoft.Management/managementGroups/mmg"
"Cloud Operations - Support Request","Group","Support Request Contributor","/providers/Microsoft.Management/managementGroups/mmg"
"Cloud Operations - Contributors","Group","Contributor","/providers/Microsoft.Management/managementGroups/mmg"
"Cloud Operations - Cost Management","Group","Cost Management Contributor","/providers/Microsoft.Management/managementGroups/mmg"
"mmglz-dev-uai","ServicePrincipal","Owner","/providers/Microsoft.Management/managementGroups/b1bd017e-469d-4616-bb7b-bdd765fbb46e"
"Cloud - Owners","Group","Owner","/providers/Microsoft.Management/managementGroups/b1bd017e-469d-4616-bb7b-bdd765fbb46e"
"Emergency Access - Owners","Group","Owner","/providers/Microsoft.Management/managementGroups/b1bd017e-469d-4616-bb7b-bdd765fbb46e"
"MMG - AZURE - CAG ICO Cloud - Admins","Group","Owner","/providers/Microsoft.Management/managementGroups/mmg-decommissioned"
"Cloud Architecture - Readers","Group","Reader","/providers/Microsoft.Management/managementGroups/mmg"
"Cloud Operations - Support Request","Group","Support Request Contributor","/providers/Microsoft.Management/managementGroups/mmg"
"Cloud Operations - Contributors","Group","Contributor","/providers/Microsoft.Management/managementGroups/mmg"
"Cloud Operations - Cost Management","Group","Cost Management Contributor","/providers/Microsoft.Management/managementGroups/mmg"
"mmglz-dev-uai","ServicePrincipal","Owner","/providers/Microsoft.Management/managementGroups/b1bd017e-469d-4616-bb7b-bdd765fbb46e"
"Cloud - Owners","Group","Owner","/providers/Microsoft.Management/managementGroups/b1bd017e-469d-4616-bb7b-bdd765fbb46e"
"Emergency Access - Owners","Group","Owner","/providers/Microsoft.Management/managementGroups/b1bd017e-469d-4616-bb7b-bdd765fbb46e"
"Digital Asset - Readers","Group","Reader","/providers/Microsoft.Management/managementGroups/mmg-digital-asset"
"Digital Asset - Contributors","Group","Contributor","/providers/Microsoft.Management/managementGroups/mmg-digital-asset"
"Cloud Architecture - Readers","Group","Reader","/providers/Microsoft.Management/managementGroups/mmg"
"Cloud Operations - Support Request","Group","Support Request Contributor","/providers/Microsoft.Management/managementGroups/mmg"
"Cloud Operations - Contributors","Group","Contributor","/providers/Microsoft.Management/managementGroups/mmg"
"Cloud Operations - Cost Management","Group","Cost Management Contributor","/providers/Microsoft.Management/managementGroups/mmg"
"mmglz-dev-uai","ServicePrincipal","Owner","/providers/Microsoft.Management/managementGroups/b1bd017e-469d-4616-bb7b-bdd765fbb46e"
"Cloud - Owners","Group","Owner","/providers/Microsoft.Management/managementGroups/b1bd017e-469d-4616-bb7b-bdd765fbb46e"
"Emergency Access - Owners","Group","Owner","/providers/Microsoft.Management/managementGroups/b1bd017e-469d-4616-bb7b-bdd765fbb46e"
"Cloud Architecture - Readers","Group","Reader","/providers/Microsoft.Management/managementGroups/mmg"
"Cloud Operations - Support Request","Group","Support Request Contributor","/providers/Microsoft.Management/managementGroups/mmg"
"Cloud Operations - Contributors","Group","Contributor","/providers/Microsoft.Management/managementGroups/mmg"
"Cloud Operations - Cost Management","Group","Cost Management Contributor","/providers/Microsoft.Management/managementGroups/mmg"
"mmglz-dev-uai","ServicePrincipal","Owner","/providers/Microsoft.Management/managementGroups/b1bd017e-469d-4616-bb7b-bdd765fbb46e"
"Cloud - Owners","Group","Owner","/providers/Microsoft.Management/managementGroups/b1bd017e-469d-4616-bb7b-bdd765fbb46e"
"Emergency Access - Owners","Group","Owner","/providers/Microsoft.Management/managementGroups/b1bd017e-469d-4616-bb7b-bdd765fbb46e"
"Cloud Architecture - Readers","Group","Reader","/providers/Microsoft.Management/managementGroups/mmg"
"Cloud Operations - Support Request","Group","Support Request Contributor","/providers/Microsoft.Management/managementGroups/mmg"
"Cloud Operations - Contributors","Group","Contributor","/providers/Microsoft.Management/managementGroups/mmg"
"Cloud Operations - Cost Management","Group","Cost Management Contributor","/providers/Microsoft.Management/managementGroups/mmg"
"mmglz-dev-uai","ServicePrincipal","Owner","/providers/Microsoft.Management/managementGroups/b1bd017e-469d-4616-bb7b-bdd765fbb46e"
"Cloud - Owners","Group","Owner","/providers/Microsoft.Management/managementGroups/b1bd017e-469d-4616-bb7b-bdd765fbb46e"
"Emergency Access - Owners","Group","Owner","/providers/Microsoft.Management/managementGroups/b1bd017e-469d-4616-bb7b-bdd765fbb46e"
"Cloud Architecture - Readers","Group","Reader","/providers/Microsoft.Management/managementGroups/mmg"
"Cloud Operations - Support Request","Group","Support Request Contributor","/providers/Microsoft.Management/managementGroups/mmg"
"Cloud Operations - Contributors","Group","Contributor","/providers/Microsoft.Management/managementGroups/mmg"
"Cloud Operations - Cost Management","Group","Cost Management Contributor","/providers/Microsoft.Management/managementGroups/mmg"
"mmglz-dev-uai","ServicePrincipal","Owner","/providers/Microsoft.Management/managementGroups/b1bd017e-469d-4616-bb7b-bdd765fbb46e"
"Cloud - Owners","Group","Owner","/providers/Microsoft.Management/managementGroups/b1bd017e-469d-4616-bb7b-bdd765fbb46e"
"Emergency Access - Owners","Group","Owner","/providers/Microsoft.Management/managementGroups/b1bd017e-469d-4616-bb7b-bdd765fbb46e"
"Phoenix - Contributors","Group","Contributor","/providers/Microsoft.Management/managementGroups/mmg-phoenix"
"Phoenix - Readers","Group","Reader","/providers/Microsoft.Management/managementGroups/mmg-phoenix"
"Cloud Architecture - Readers","Group","Reader","/providers/Microsoft.Management/managementGroups/mmg"
"Cloud Operations - Support Request","Group","Support Request Contributor","/providers/Microsoft.Management/managementGroups/mmg"
"Cloud Operations - Contributors","Group","Contributor","/providers/Microsoft.Management/managementGroups/mmg"
"Cloud Operations - Cost Management","Group","Cost Management Contributor","/providers/Microsoft.Management/managementGroups/mmg"
"mmglz-dev-uai","ServicePrincipal","Owner","/providers/Microsoft.Management/managementGroups/b1bd017e-469d-4616-bb7b-bdd765fbb46e"
"Cloud - Owners","Group","Owner","/providers/Microsoft.Management/managementGroups/b1bd017e-469d-4616-bb7b-bdd765fbb46e"
"Emergency Access - Owners","Group","Owner","/providers/Microsoft.Management/managementGroups/b1bd017e-469d-4616-bb7b-bdd765fbb46e"
"Cloud Architecture - Readers","Group","Reader","/providers/Microsoft.Management/managementGroups/mmg"
"Cloud Operations - Support Request","Group","Support Request Contributor","/providers/Microsoft.Management/managementGroups/mmg"
"Cloud Operations - Contributors","Group","Contributor","/providers/Microsoft.Management/managementGroups/mmg"
"Cloud Operations - Cost Management","Group","Cost Management Contributor","/providers/Microsoft.Management/managementGroups/mmg"
"mmglz-dev-uai","ServicePrincipal","Owner","/providers/Microsoft.Management/managementGroups/b1bd017e-469d-4616-bb7b-bdd765fbb46e"
"Cloud - Owners","Group","Owner","/providers/Microsoft.Management/managementGroups/b1bd017e-469d-4616-bb7b-bdd765fbb46e"
"Emergency Access - Owners","Group","Owner","/providers/Microsoft.Management/managementGroups/b1bd017e-469d-4616-bb7b-bdd765fbb46e"
"Cloud Architecture - Readers","Group","Reader","/providers/Microsoft.Management/managementGroups/mmg"
"Cloud Operations - Support Request","Group","Support Request Contributor","/providers/Microsoft.Management/managementGroups/mmg"
"Cloud Operations - Contributors","Group","Contributor","/providers/Microsoft.Management/managementGroups/mmg"
"Cloud Operations - Cost Management","Group","Cost Management Contributor","/providers/Microsoft.Management/managementGroups/mmg"
"mmglz-dev-uai","ServicePrincipal","Owner","/providers/Microsoft.Management/managementGroups/b1bd017e-469d-4616-bb7b-bdd765fbb46e"
"Cloud - Owners","Group","Owner","/providers/Microsoft.Management/managementGroups/b1bd017e-469d-4616-bb7b-bdd765fbb46e"
"Emergency Access - Owners","Group","Owner","/providers/Microsoft.Management/managementGroups/b1bd017e-469d-4616-bb7b-bdd765fbb46e"
"9b1ed4784f62422fb0160a69","ServicePrincipal","Monitoring Contributor","/providers/Microsoft.Management/managementGroups/Workload-mg"
"9b1ed4784f62422fb0160a69","ServicePrincipal","Log Analytics Contributor","/providers/Microsoft.Management/managementGroups/Workload-mg"
"9b1ed4784f62422fb0160a69","ServicePrincipal","Contributor","/providers/Microsoft.Management/managementGroups/Workload-mg"
"MMG - AZURE - CAG ICO Cloud - Admins","Group","Owner","/providers/Microsoft.Management/managementGroups/Workload-mg"
"mmglz-dev-uai","ServicePrincipal","Owner","/providers/Microsoft.Management/managementGroups/b1bd017e-469d-4616-bb7b-bdd765fbb46e"
"Cloud - Owners","Group","Owner","/providers/Microsoft.Management/managementGroups/b1bd017e-469d-4616-bb7b-bdd765fbb46e"
"Emergency Access - Owners","Group","Owner","/providers/Microsoft.Management/managementGroups/b1bd017e-469d-4616-bb7b-bdd765fbb46e"
"9b1ed4784f62422fb0160a69","ServicePrincipal","Monitoring Contributor","/providers/Microsoft.Management/managementGroups/Workload-mg"
"9b1ed4784f62422fb0160a69","ServicePrincipal","Log Analytics Contributor","/providers/Microsoft.Management/managementGroups/Workload-mg"
"9b1ed4784f62422fb0160a69","ServicePrincipal","Contributor","/providers/Microsoft.Management/managementGroups/Workload-mg"
"MMG - AZURE - CAG ICO Cloud - Admins","Group","Owner","/providers/Microsoft.Management/managementGroups/Workload-mg"
"mmglz-dev-uai","ServicePrincipal","Owner","/providers/Microsoft.Management/managementGroups/b1bd017e-469d-4616-bb7b-bdd765fbb46e"
"Cloud - Owners","Group","Owner","/providers/Microsoft.Management/managementGroups/b1bd017e-469d-4616-bb7b-bdd765fbb46e"
"Emergency Access - Owners","Group","Owner","/providers/Microsoft.Management/managementGroups/b1bd017e-469d-4616-bb7b-bdd765fbb46e"
"9b1ed4784f62422fb0160a69","ServicePrincipal","Monitoring Contributor","/providers/Microsoft.Management/managementGroups/Workload-mg"
"9b1ed4784f62422fb0160a69","ServicePrincipal","Log Analytics Contributor","/providers/Microsoft.Management/managementGroups/Workload-mg"
"9b1ed4784f62422fb0160a69","ServicePrincipal","Contributor","/providers/Microsoft.Management/managementGroups/Workload-mg"
"MMG - AZURE - CAG ICO Cloud - Admins","Group","Owner","/providers/Microsoft.Management/managementGroups/Workload-mg"
"mmglz-dev-uai","ServicePrincipal","Owner","/providers/Microsoft.Management/managementGroups/b1bd017e-469d-4616-bb7b-bdd765fbb46e"
"Cloud - Owners","Group","Owner","/providers/Microsoft.Management/managementGroups/b1bd017e-469d-4616-bb7b-bdd765fbb46e"
"Emergency Access - Owners","Group","Owner","/providers/Microsoft.Management/managementGroups/b1bd017e-469d-4616-bb7b-bdd765fbb46e"
